expid,peakid,year,season,nation,leaders,sponsor,success,totmembers,smtmembers,mdeaths,o2used
ANN280101,ANN2,1980,1,Japan,Ikuo Tanabe,Japan-Kamiichi Hoskai Himalaya Expedition,FALSE,6,0,1,FALSE
ANN280102,ANN2,1980,1,Poland,Jerzy Michalski,Lodz Himalayan Expedition,FALSE,7,0,0,FALSE
ANN281302,ANN2,1981,3,Italy,Arturo Bergamaschi,Italian Expedition Annapurna II-IV (Italian Alpine Club),FALSE,19,0,0,FALSE
ANN281301,ANN2,1981,3,Japan,Nobuo Kuwahara,Osaka Annapurna II Expedition 1981 (Osaka Climbers Club),FALSE,9,0,1,FALSE
ANN282301,ANN2,1982,3,Japan,Kazuhiko Yamada,Shinshu University Academic Alpine Club Annapurna II Expedition,FALSE,5,0,0,FALSE
ANN283101,ANN2,1983,1,Austria,Robert Schauer,,FALSE,5,0,1,FALSE
ANN283301,ANN2,1983,3,Australia,Timothy Macartney-Snape,Australian Annapurna II Expedition,TRUE,5,4,0,FALSE
ANN283302,ANN2,1983,3,S Korea,Chung Sang-Mo,1983 Annapurna II Expedition of Yeung Nam Univ Alpine Club,FALSE,6,0,0,FALSE
ANN283401,ANN2,1983,4,UK,Ron Rutland,British Annapurna II Winter Expedition,FALSE,4,0,0,FALSE
ANN284101,ANN2,1984,1,Japan,Kunihiko Kondo,Expedition to S Face of Mt. Annapurna II 1984,FALSE,3,0,0,FALSE
ANN284301,ANN2,1984,3,Japan,Nobuo Kuwahara,Osaka Annapurna II South Face Expedition,FALSE,4,0,0,FALSE
ANN285301,ANN2,1985,3,Japan,Masaaki Fuji,Pukuola Tagawa Yamanokai Annapurna II Expedition 1985,FALSE,8,0,0,FALSE
ANN286102,ANN2,1986,1,Spain,Jesus Bereziartua,Azpeitia Annapurna II 86,FALSE,7,0,0,FALSE
ANN286101,ANN2,1986,1,USA,"Lucy Smith, Shari Kearney",1986 American Expedition to Annapurna II,FALSE,9,0,0,FALSE
ANN287301,ANN2,1987,3,Japan,Kunihiko Kondo,Okayama Climbing Club Annapurna II SE Face Expedition,FALSE,2,0,0,FALSE
ANN290301,ANN2,1990,3,USA,Steven Brimmer,American Annapurna II Expedition,FALSE,7,0,0,FALSE
ANN480301,ANN4,1980,3,W Germany,Franz Kroell,DAV (German Alpine Club),TRUE,14,5,0,FALSE
ANN481101,ANN4,1981,1,W Germany,Franz Kroell,DAV (German Alpine Club),TRUE,7,2,0,FALSE
ANN481301,ANN4,1981,3,Italy,Arturo Bergamaschi,Italian Expedition Annapurna II-IV (Italian Alpine Club),FALSE,19,0,0,FALSE
ANN481401,ANN4,1981,4,Canada,Gordon Smith,Canadian Annapurna IV Winter Expedition,TRUE,8,3,0,FALSE
ANN483101,ANN4,1983,1,Japan,Yasumitsu Yamano,Timangchaur Alpine Club Expedition,TRUE,4,2,0,FALSE
ANN483301,ANN4,1983,3,Switzerland,Adolf Weissensteiner,Austrian-Swiss Expedition to Annapurna IV,TRUE,15,4,0,FALSE
ANN484302,ANN4,1984,3,France,Herve Thivierge,Annapurna IV Expedition (French),FALSE,10,0,0,FALSE
ANN484301,ANN4,1984,3,Italy,Renato Moro,Annapurna IV Expedition 1984 (Italian),FALSE,9,0,0,FALSE
ANN485301,ANN4,1985,3,France,Phillipe Paumier,ARPE 2nd French Medical Expedition in the Himalaya 1985,FALSE,15,0,0,FALSE
ANN486101,ANN4,1986,1,Nepal,Gupta Bahadur Rana,Nepal Mountaineering Police,TRUE,35,6,0,FALSE
ANN486301,ANN4,1986,3,France,Michel Vincent,Jaccoux-Vincent Expedition to Annapurna IV,TRUE,9,2,0,FALSE
ANN487101,ANN4,1987,1,Austria,Harald Nave,Eiselin Sports Annapurna IV Expedition,FALSE,6,0,0,FALSE
ANN487302,ANN4,1987,3,USA,Eric Simonson,1987 American Annapurna IV N Ridge Expedition,FALSE,15,0,0,FALSE
ANN487301,ANN4,1987,3,USA,Steven Brimmer,1987 American Annapurna IV Himalayan Expedition,TRUE,7,1,0,FALSE
ANN489301,ANN4,1989,3,S Korea,Lee Dong-Myung,1989 Yeungnam University Alpine Club Annapurna II & IV Exp,TRUE,9,2,0,FALSE
ANN490301,ANN4,1990,3,France,Herve Thivierge,Annapurna IV Lyon Rhone-Alpes 1990,FALSE,12,0,0,FALSE
ANN490302,ANN4,1990,3,France,Bernard Clement,Expe Himal A4 - French to Annapurna,FALSE,10,0,0,FALSE
ANN490303,ANN4,1990,3,Indonesia,Ms. Aryati,ANNA. Himalaya Putri Patria (Women Heros) Indonesia 1990,TRUE,8,1,0,TRUE
ANN491101,ANN4,1991,1,USA,Richard Salisbury,1991 American Annapurna IV Expedition,FALSE,6,0,0,FALSE
ANN491301,ANN4,1991,3,Japan,Koichi Sugiyama,Osaka Annapurna IV Expedition,FALSE,1,0,0,FALSE
ANN491302,ANN4,1991,3,S Korea,Rim Jong-Bum,1991 Autumn Annapurna II & IV Buddhist Expedition,FALSE,1,0,0,FALSE
ANN491303,ANN4,1991,3,Yugoslavia,Milenko Savic,Belgrade Mountaineering Expedition to Annapurna IV,FALSE,9,0,0,FALSE
ANN492101,ANN4,1992,1,UK,Michael Trueman,British Joint Services Expedition,TRUE,12,5,0,TRUE
ANN492301,ANN4,1992,3,S Korea,Goo Hwa-Sub,92 Korea Hyundai Motor Company Annapurna IV Expedition,TRUE,6,2,0,FALSE
ANN492303,ANN4,1992,3,S Korea,Rim Jong-Bum,1992 Autumn Annapurna IV Buddhist Expedition,TRUE,1,1,0,FALSE
ANN492302,ANN4,1992,3,Spain,Asier Izagirre,Tolosa Expedition to Annapurna,TRUE,6,4,0,FALSE
ANN492304,ANN4,1992,3,Japan,Satoshi Ikenuma,Japanese Alpine Club Tokai Branch Annapurna IV Expedition,FALSE,6,0,0,FALSE
MAKA88101,MAKA,1988,1,France,Marc Batard,Makalu 1988,TRUE,1,1,0,FALSE
MAKA88103,MAKA,1988,1,W Germany,Sigi Hupfauer,German Makalu Expedition 1988,FALSE,9,0,0,FALSE
MAKA88102,MAKA,1988,1,Italy,Savio Giacomelli,Valcamonica Expedition to Makalu,FALSE,9,0,0,FALSE
KANG88101,KANG,1988,1,USA,Carlos Buhler,1988 American Kangchenjunga Expedition,TRUE,5,3,0,FALSE
KANG88102,KANG,1988,1,Spain,Felipe Uriarte Camara,Kangchenjunga Basque Expedition,FALSE,4,0,0,FALSE
KANG88103,KANG,1988,1,India,Vasant Limaye,Indian Kangchenjunga Spring 1988,FALSE,23,0,1,TRUE
MAKA88104,MAKA,1988,1,Switzerland,Erhard Loretan,Swiss Makalu W Face Expedition 1988,FALSE,2,0,0,FALSE
AMAD88101,AMAD,1988,1,UK,Peter Hill,British Ama Dablam Expedition,FALSE,4,0,0,FALSE
AMAD88102,AMAD,1988,1,Canada,Stephen Robert Langley,Canadian Ama Dablam Expedition,FALSE,6,0,1,FALSE
BARU88102,BARU,1988,1,USA,James Brug,American Baruntse Expedition,FALSE,6,0,0,FALSE
BARU88101,BARU,1988,1,Australia,John Finnigan,Australian Baruntse Expedition 1988,FALSE,10,0,0,TRUE
CHAM88101,CHAM,1988,1,Netherlands,Frederike Bloemers,Rosta Women's Expedition 1988,FALSE,6,0,0,FALSE
KUSU88101,KUSU,1988,1,Czechoslovakia,Jan Krajcik,Kusum Kanguru-Spring 1988,FALSE,6,0,0,FALSE
LSHR88101,LSHR,1988,1,Spain,Mari Abrego Santesteban,Agni Lhotse Shar Expedition Himalaya 1988,FALSE,5,0,0,FALSE
CHOY88102,CHOY,1988,1,Switzerland,John Kimber,Cho Oyu Swiss Expedition 1988,FALSE,5,0,0,FALSE
CHOY88105,CHOY,1988,1,USA,Keith Brown,American-Australian Cho Oyu Swiss Spring 1988,FALSE,2,0,0,FALSE
CHOY88104,CHOY,1988,1,W Germany,Gerhard Schmatz,German-Swiss Cho Oyu Spring 1988,TRUE,4,3,1,FALSE
CHOY88101,CHOY,1988,1,UK,Alan Hunt,Cho Oyu SW Ridge,TRUE,6,1,0,FALSE
CHOY88103,CHOY,1988,1,Italy,Oreste Forno,Italian Cho Oyu Spring 1988,TRUE,8,4,0,FALSE
CHOY88106,CHOY,1988,1,W Germany,Guenther Haerter,Shisma Pangma/Cho Oyu Tibet Expedition 1988,TRUE,27,6,0,FALSE
KTEG88101,KTEG,1988,1,Japan,Koji Murakami,Orio Alpine Club Kang-Taiga Expedition 1988,FALSE,3,0,0,FALSE
PUMO88101,PUMO,1988,1,USA,John Tuckey,American Pumori Expedition,TRUE,4,2,1,FALSE
PUMO88102,PUMO,1988,1,Indonesia,Gunawan,Wandari Indonesian Himalayan Expedition,TRUE,7,3,0,FALSE
TAWO88101,TAWO,1988,1,UK,Andrew Black,British Tawoche Expedition,FALSE,4,0,0,FALSE
ANNS88101,ANNS,1988,1,USA,William Silva,American Annapurna S 1988,FALSE,4,0,0,FALSE
ANN188101,ANN1,1988,1,France,Benoit Chamoux,L'Esprit d'Equipe (Team Spirit),TRUE,7,5,0,FALSE
ANN188102,ANN1,1988,1,Mexico,Roberto Morales,Mexican Expedition to Annapurna,FALSE,5,0,0,FALSE
CHRE88101,CHRE,1988,1,S Korea,Ji Hoon-Gu,1988 Korea Alpine Club Chung-Dong Churen Himal Expedition,TRUE,7,2,1,FALSE
GAN288101,GAN2,1988,1,UK,Julian Mathias,British Ganesh Expedition 1988,FALSE,4,0,0,FALSE
MANA88101,MANA,1988,1,Poland,Andrzej Machnik,Manaslu NE Face Direct 1988,FALSE,2,0,0,FALSE
MANA88103,MANA,1988,1,Italy,Roberto Pe,Manaslu VCO Expedition 1988,FALSE,8,0,0,FALSE
MANA88102,MANA,1988,1,Switzerland,Anton (Toni) Spirig,Swiss Manaslu Expedition 1988,TRUE,7,3,0,FALSE
PUTH88101,PUTH,1988,1,USA,Hooman Aprin,American Putha Hiunchuli 1988,FALSE,9,0,0,FALSE
CTSE88101,CTSE,1988,1,UK,"Shaun Norman, Mike Perry",Shaun Norman Changtse Spring 1988,FALSE,5,0,0,TRUE
AMAD88401,AMAD,1988,4,S Korea,Kim Young-Ju,Korean Bong Am Alpine Club Ama Dablam Expedition Winter 1988-89,TRUE,3,3,0,FALSE
AMAD88402,AMAD,1988,4,France,Marc Batard,Batard Ama Dablam Expedition,TRUE,16,11,0,FALSE
ANN188401,ANN1,1988,4,Bulgaria,Metodi Stefanov Savov,Annapurna I Bulgarian Winter Expedition 1988,FALSE,8,0,0,FALSE
CHOY88401,CHOY,1988,4,Japan,Kiyoshi Ishii,Masaki Matsumoto Cho Oyu Winter Expedition,FALSE,2,0,0,FALSE
NEMJ88401,NEMJ,1988,4,Japan,Yoshida Kazumi,NTT Kyushu Alpine Club Himlung Expedition,FALSE,8,0,0,FALSE
LANG88401,LANG,1988,4,Japan,Akitsugu Nishimura,Japan Kumamoto Star & Storm Climbing Club Winter Expedition 1988,TRUE,5,1,0,FALSE
TAWO88401,TAWO,1988,4,USA,"Jeff Lowe, John Roskelley",American Tawoche Expedition,TRUE,2,2,0,FALSE
THAM88401,THAM,1988,4,USA,Hooman Aprin,Him-Kooh American Thamserku Expedition,FALSE,3,0,0,FALSE
NUPT88401,NUPT,1988,4,S Korea,Cho Hyung-Kyu,1988/89 Korean Winter Nuptse West Expedition,FALSE,11,0,0,FALSE
YALU88401,YALU,1988,4,Poland,Jozef Stepien,Polish Winter Himalayan Expedition 1988-89,FALSE,7,0,0,FALSE
CTSE88201,CTSE,1988,2,Italy,Arturo Bergamaschi,Arturo Bergamaschi Changtse Autumn 1988,TRUE,16,7,0,FALSE
CHOY88201,CHOY,1988,2,France,Marc Batard,French-Nepalese Cho Oyu Expedition 1988,TRUE,2,2,0,FALSE
EVER88401,EVER,1988,4,Belgium,Herman Detienne,Herman Detienne Everest/Lhotse Winter 1988,FALSE,17,0,0,TRUE
LHOT88401,LHOT,1988,4,Belgium,Herman Detienne,Herman Detienne Everest/Lhotse Winter 1988,TRUE,5,1,0,TRUE
EVER88402,EVER,1988,4,S Korea,Park Young-Bae,Park Young-Bae Everest Winter 1988,FALSE,11,0,0,FALSE
LANR83301,LANR,1983,3,Japan,Ryohei Nishioku,Chuo University-Nepal Joint Expedition to Langtang Ri,TRUE,6,4,0,FALSE
DHA183301,DHA1,1983,3,Japan,Tsuneo Hasegawa,U-Tan Club Dhaulagiri I Expedition 1983,FALSE,15,0,1,FALSE
DHA183303,DHA1,1983,3,France,Michel Metzger,French Dhaulagiri I Expedition 1983,TRUE,2,2,0,FALSE
DHA183302,DHA1,1983,3,France,Yves Astier-Perret,French Dhaulagiri I Expedition,FALSE,7,0,0,FALSE
NEMJ83301,NEMJ,1983,3,Japan,Junji Kurotaki,Nepal and Hirosaki University Mt. Himlung Joint Expedition 1983,TRUE,6,3,0,FALSE
HIME83301,HIME,1983,3,Japan,Hisatoshi Takabayashi,Kagawa Worker's Alpine Federation Himalchuli Expedition 1983,FALSE,9,0,2,FALSE
KGUR83301,KGUR,1983,3,Japan,Shuichi Torii,1983 Miyazaki Kang Guru Expedition,TRUE,10,5,0,TRUE
MAKA83302,MAKA,1983,3,Japan,Masaaki Fukushima,Bernina Alpine Club Makalu Expedition,FALSE,4,0,0,FALSE
MAKA83301,MAKA,1983,3,New Zealand,Peter Hillary,New Zealand Makalu Expedition,FALSE,4,0,2,FALSE
NILN83301,NILN,1983,3,Australia,Zac Zaharias,Australian Army Nilgiri N Expedition,TRUE,8,7,0,TRUE
ANN383302,ANN3,1983,3,Australia,Jonathan Chester,1983 Australian Annapurna III Expedition,FALSE,5,0,0,FALSE
ANN383301,ANN3,1983,3,UK,Nikola Kekus,British Annapurna III Expedition 1983,FALSE,4,0,1,FALSE
DHA683301,DHA6,1983,3,Canada,Albi Sole,Canadian Expedition to Nepal Himalaya 1983,TRUE,5,4,0,FALSE
LSHR83301,LSHR,1983,3,Canada,Roger Marshall,Canadian Lhotse Shar Expedition,FALSE,3,0,0,FALSE
MANA83302,MANA,1983,3,S Korea,Heo (Huh) Young-Ho,1983 Korean Manaslu Expedition,TRUE,3,1,0,FALSE
MANA83301,MANA,1983,3,Austria,Wilfried Studer,Vorarlberger Himalayan Expedition to Manaslu,FALSE,5,0,0,FALSE
ANN183301,ANN1,1983,3,S Korea,Ahn Chang-Yeul,1983 Korean Annapurna I Expedition,FALSE,9,0,1,FALSE
ANN183302,ANN1,1983,3,Italy,Giuseppe Lafranconi,Annapurna 1983 - Expedition Regione Lombardia to Annapurna I,FALSE,13,0,0,FALSE
ANN183303,ANN1,1983,3,Yugoslavia,Andrej Stremfelj,Slovenian Annapurna I Expedition,FALSE,7,0,0,FALSE
CHOY83301,CHOY,1983,3,Italy,Tony Klingendrath,Nepal-Italian Cho Oyu Expedition,FALSE,6,0,0,FALSE
CHOY83302,CHOY,1983,3,Japan,Kazumi Shigeto,Fukuoka Tozan Kenkyukai Cho Oyu Expedition 1983,FALSE,11,0,0,FALSE
NUMB83301,NUMB,1983,3,Spain,Andres Fernandez,Madrid Expedition to Himalaya 1983 - Numbur,FALSE,7,0,0,FALSE
CHRW83301,CHRW,1983,3,W Germany,Gustav Harder,DAV (German Alpine Club) Training Exp 1983 to Churen Himal,FALSE,15,0,2,FALSE
GAUR83301,GAUR,1983,3,Yugoslavia,Slavko Canker,Celje Himalayan Expedition to Gaurishankar,FALSE,15,0,0,FALSE
GAN383301,GAN3,1983,3,Poland,Janusz Majer,Polish Ganesh III Expedition 1983,FALSE,12,0,1,FALSE
GAN483301,GAN4,1983,3,USA,Richard Ranson,Colorado Springs Himalaya Expedition to Mt. Ganesh IV,FALSE,4,0,0,FALSE
KTEG83301,KTEG,1983,3,USA,Steven Brimmer,1983 American Kangtega Expedition,FALSE,6,0,0,FALSE
AMAD83301,AMAD,1983,3,Switzerland,Guido Bumann,Swiss Ama Dablam Expedition,TRUE,17,13,2,FALSE
AMAD83302,AMAD,1983,3,France,Raymond Renaud,French Expedition to Ama Dablam,TRUE,13,10,0,FALSE
CHOB83301,CHOB,1983,3,Austria,Ernst Gritzner,Chobuje Expedition 1983,FALSE,12,0,2,FALSE
GLAC83302,GLAC,1983,3,Austria,"Wolfgang Nairz, Rudi Mayr",Austrian Glacier Dome Expedition,TRUE,17,3,0,FALSE
GLAC83301,GLAC,1983,3,France,Bernard Muller,French Expedition to Glacier Dome,FALSE,11,0,0,FALSE
KANG83301,KANG,1983,3,Switzerland,Denis Bertholet,Swiss Expedition 1983 to Kangchenjunga,TRUE,9,2,0,FALSE
KANG83302,KANG,1983,3,France,Pierre Beghin,Kangchenjunga 1983,TRUE,5,1,0,FALSE
BARU83302,BARU,1983,3,France,Robert Mandin,Barunste Expedition,FALSE,10,0,0,FALSE
BARU83301,BARU,1983,3,France,Frederic Faure,Stendhal Kumbhakarna Expedition 1983,FALSE,6,0,0,FALSE
MAK283301,MAK2,1983,3,France,Frederic Faure,Stendhal Kumbhakarna Expedition 1983,TRUE,6,6,0,FALSE
TUKU83301,TUKU,1983,3,France,Michel Pelle,French Tukuche Expedition,FALSE,9,0,0,FALSE
GANG83302,GANG,1983,3,Yugoslavia,Stane Belak,Yugoslav Gangapurna Expedition 1983,TRUE,9,4,0,FALSE
GANG83301,GANG,1983,3,USA,Charles Sinclair,Stanford Himalaya Expedition to Gangapurna,FALSE,9,0,0,FALSE
AMAD83401,AMAD,1983,4,S Korea,Nam Sun-Woo,1983 S Korean Ama Dablam Winter Expedition,TRUE,3,3,0,FALSE
ANN183401,ANN1,1983,4,Japan,Tadao Sugimoto,Tokyo Shigaku Club Expedition to Annapurna I (Winter 1983-84),FALSE,4,0,0,FALSE
KGUR83401,KGUR,1983,4,Japan,Koichi Kato,Den Den Sangaku Doshikai Kang Guru Expedition,TRUE,4,1,0,FALSE
NUMB83401,NUMB,1983,4,Japan,Kensuke Kikuchi,Takasaki Economics College Mt. Numbur Winter Expedition 1983,TRUE,6,3,0,FALSE
TILI83401,TILI,1983,4,S Korea,Lee Yong-Ho,Korean Alpine Guide Association Tilicho Peak Expedition,TRUE,4,2,0,FALSE
APIM83401,APIM,1983,4,Poland,Tadeusz Piotrowski,Polish Himalaya Winter Expedition to Api,TRUE,8,2,1,FALSE
MANA83402,MANA,1983,4,Poland,Lech Korniszewski,Polish Manaslu Winter Expedition,TRUE,11,2,1,FALSE
MAKA85101,MAKA,1985,1,France,Maurice Barrard,8000m by Ski - Expedition to Makalu,FALSE,4,0,0,FALSE
CHOY85103,CHOY,1985,1,Spain,Javier Garayoa Aizkorbe,Alava Expedition of Sport and Science to Cho Oyu,TRUE,11,7,0,FALSE
DHA185101,DHA1,1985,1,USA,Robert Harwood,American Dhaulagiri Expedition,FALSE,7,0,0,FALSE
TUKU85101,TUKU,1985,1,S Korea,Nam Ki-Chang,Chung Joo University Alpine Club Tukuche Expedition 1985,TRUE,7,2,0,FALSE
PUMO85102,PUMO,1985,1,Spain,Pere Rodes Munoz,Expedicio Gracia Himalaia to Pumori,TRUE,4,3,0,FALSE
MAK285101,MAK2,1985,1,France,Richard Jessup,Grenoble Makalu II Expedition,TRUE,5,3,0,FALSE
HIME85101,HIME,1985,1,Hungary,Pal Orban,Hungarian Himalayan Expedition 1985,TRUE,12,2,2,FALSE
AMAD85101,AMAD,1985,1,Italy,Casimiro Ferrari,"Italian Expedition to Ama Dablam, 1985",TRUE,7,6,0,FALSE
LSHR85101,LSHR,1985,1,S Korea,Heo Young-Ho,Jae Cheon Alpine Club Expedition to Lhotse 1985,FALSE,1,0,0,FALSE
GURJ85102,GURJ,1985,1,Romania,Ovidiu Bojor,Joint Nepal-Romania Gurja Himal Expedition 1985,TRUE,8,3,1,FALSE
KANG85101,KANG,1985,1,USA,John Roskelley,Kangchenjunga N Wall 1985,FALSE,6,0,0,TRUE
ANN185101,ANN1,1985,1,Italy,Reinhold Messner,Messner Annapurna Expedition 1985,TRUE,5,2,0,FALSE
DHA185102,DHA1,1985,1,Italy,Reinhold Messner,Messner Dhaulagiri Expedition 1985,TRUE,2,2,0,FALSE
CHOY85101,CHOY,1985,1,Poland,Waclaw Otreba,Polish-American Cho Oyu Expedition Spring 1985,TRUE,12,2,0,TRUE
NGOJ85101,NGOJ,1985,1,Poland,Waclaw Otreba,Polish American Cho Oyu Expedition Spring 1985,TRUE,3,2,0,FALSE
NILN85101,NILN,1985,1,Poland,Zbigniew Mlynarczyk,Polish Himalaya Expedition Nilgiri N Spring 1985,FALSE,9,0,0,FALSE
ANN385101,ANN3,1985,1,Nepal,Bhagirath Narsingh Rana,Royal Nepal Army Expedition to Annapurna III,TRUE,22,3,0,FALSE
ANNS85101,ANNS,1985,1,Italy,Luciano Cergol,SPDT Annapurna S Expedition 1985,FALSE,7,0,0,FALSE
CHOL85101,CHOL,1985,1,Japan,Naoe Sakashita,Sangaku Doshikai Khumbu Himal Expedition 1985,TRUE,7,3,0,FALSE
AMAD85102,AMAD,1985,1,Japan,Naoe Sakashita,Sangaku Doshikai Khumbu Himal Expedition 1985,TRUE,7,4,1,FALSE
TAWO85101,TAWO,1985,1,Japan,Naoe Sakashita,Sangaku Doshikai Khumbu Himal Expedition 1985,TRUE,7,4,0,FALSE
YALU85101,YALU,1985,1,Yugoslavia,Tone Skarja,Slovene Yalungkang Expedition 1985,TRUE,15,2,1,TRUE
OHMI85101,OHMI,1985,1,Switzerland,Ruedi Meier,Swiss-Nepalese Ohmi Kangri Expedition 1985,TRUE,10,9,0,FALSE
GAUR85101,GAUR,1985,1,Japan,Kensaku Sakai,Team La Neige Gaurishankar Expedition 1985,FALSE,2,0,1,FALSE
GURJ85101,GURJ,1985,1,Japan,Shoichi Kobayashi,Joint Nepalese-Japanese Three Peaks Expedition 1985,TRUE,9,4,1,TRUE
CHOY85102,CHOY,1985,1,China,Rinchen Phuntsok,"Tibetan Cho Oyu Expedition, Spring 1985",TRUE,11,9,0,TRUE
PUMO85101,PUMO,1985,1,Austria,Arthur Haid,Tirolean Himalayan Expedition to Pumori 1985,TRUE,8,7,0,FALSE
CHOB85101,CHOB,1985,1,New Zealand,John Marsden Nankervis,"Victoria Cook Chobuje Expedition, 1985",TRUE,5,5,0,FALSE
MANA85101,MANA,1985,1,Austria,Wilfried Studer,Vorarlberg-Tirol Himalayan Expedition 1985 Manaslu,TRUE,7,1,1,FALSE
GAN185301,GAN1,1985,3,S Korea,Park Ji-Weon,1985 Korean Ganesh Himal I Expedition,FALSE,3,0,0,FALSE
HIMN85302,HIMN,1985,3,S Korea,Lee Kyn-Jin,1985 Korean Himalchuli N Expedition,TRUE,8,1,0,FALSE
AMAD85302,AMAD,1985,3,USA,Hooman Aprin,American Ama Dablam Expedition 1985,TRUE,5,4,0,FALSE
KUSU85301,KUSU,1985,3,USA,"Tom Dickey, Trevor Pilling",Anglo-American Kusum Kanguru Expedition 1985,TRUE,4,2,0,FALSE
MANA85301,MANA,1985,3,Spain,Felipe Uriarte Camara,Basque Expedition Manaslu 1985,FALSE,6,0,0,FALSE
TUKU85301,TUKU,1985,3,S Korea,Shin Ho-Jin,Busan Teachers College Alpine Club Expedition to Tukuche,TRUE,4,2,0,FALSE
DHA185301,DHA1,1985,3,Czechoslovakia,Jiri Novak,Czechoslovak Expedition Dhaulagiri 1985,FALSE,18,0,0,FALSE
BARU85301,BARU,1985,3,W Germany,Hermann Tauber,DAV Baruntse Expedition,TRUE,15,10,0,FALSE
MANN85301,MANN,1985,3,W Germany,Friedrich (Fritz) Zintl,DAV Manaslu North Expedition,FALSE,16,0,0,TRUE
KAG185301,KAG1,1985,3,Netherlands,Sjoero Ybema,Dutch Kagmara Expedition,FALSE,7,0,0,FALSE
SAIP85301,SAIP,1985,3,Spain,Joaquim Prunes,Expedicio Himalaya-85 to Saipal,TRUE,13,9,0,FALSE
ANNS85301,ANNS,1985,3,Greece,Mike Tsoukias,First Greek Himalayan Expedition to Annapurna South,FALSE,11,0,2,FALSE
MAK285302,MAK2,1985,3,France,Pierre Demolombe,French Expedition to Makalu II 1985,FALSE,10,0,2,FALSE
THAM85302,THAM,1985,3,France,Marc Batard,French Thamserku Expedition 1985,TRUE,7,2,0,FALSE
GANG85302,GANG,1985,3,UK,"Scott Woolums, Sandy Allan",Gangapurna NE Expedition 1985,FALSE,5,0,0,FALSE
ANN185301,ANN1,1985,3,Japan,Jun Yasumura,Ganyuhkai 1985 Annapurna I Expedition,FALSE,5,0,0,FALSE
ANNS85302,ANNS,1985,3,W Germany,Walter Fichter,German Annapurna S Expedition 1985,FALSE,6,0,1,FALSE
KGUR85301,KGUR,1985,3,Austria,Norbert Raich,Hochbergschule Expedition to Kang Guru,FALSE,7,0,1,FALSE
AMAD85301,AMAD,1985,3,Italy,Renato Moro,International Ama Dablam Expedition 1985,TRUE,22,8,0,FALSE
BARU85302,BARU,1985,3,France,Claude Jaccoux,Jaccoux-Vincent Expedition to Baruntse,FALSE,13,0,0,FALSE
MANA85303,MANA,1985,3,Japan,Yoshimichi Furuhata,Japanese-Spanish (Basque) Joint Manaslu Expedition 1985,FALSE,15,0,0,FALSE
KIRA85301,KIRA,1985,3,UK,Mike Kefford,Joint A.M.A.-Royal Nepal Army Kirat Chuli Expedition,FALSE,31,0,0,FALSE
MAK285301,MAK2,1985,3,Netherlands,Ronald Naar,Kangchungtse Summit Expedition,TRUE,10,4,2,FALSE
CHOY85301,CHOY,1985,3,Japan,Ken Kanazawa,Kathmandu Club Cho Oyu Expedition,TRUE,4,3,0,FALSE
GAUR85301,GAUR,1985,3,S Korea,Park Jung-Soo,Korean Gaurishankar Expedition 1985,FALSE,5,0,0,FALSE
LANG85301,LANG,1985,3,USA,Daniel Newell,Langtang Lirung N Face Expedition,FALSE,7,0,2,FALSE
MANA85302,MANA,1985,3,Japan,Iwao Thushima,Manaslu Expedition Aomori Japan 1985,FALSE,9,0,0,FALSE
DHA285301,DHA2,1985,3,Japan,Schuichi Torii,Miyazaki University Dhaulagiri II Expedition 1985,FALSE,4,0,0,FALSE
LSIS85301,LSIS,1985,3,Japan,Kosuke Shiota,Nagasaki Worker's Alpine Fed Expedition 1985 to Langshisa Ri,FALSE,9,0,0,FALSE
DORJ85301,DORJ,1985,3,Japan,Yoshihisa Nakano,Nepal-Zoki Joint Expedition to Dorje Lhakpa,TRUE,9,5,0,FALSE
HIMW85301,HIMW,1985,3,USA,Ronald Palmer,Northern New Mexico 1985 Himalchuli W Expedition,FALSE,6,0,0,FALSE
GAN485301,GAN4,1985,3,Poland,Karol Sopicki,Polish Ganesh IV Expedition,FALSE,4,0,3,FALSE
HIMN85301,HIMN,1985,3,Poland,Wieslaw Panejko,Polish Himalaya Expedition Himalchuli 1985,TRUE,12,2,0,FALSE
GANG85301,GANG,1985,3,Poland,Wojciech Maslowski,Polish-Canadian Gangapurna Expedition 1985,TRUE,13,8,0,FALSE
MAKA85301,MAKA,1985,3,Italy,Sergio Martini,Project 1985 -Italians and Spaniards on Makalu,TRUE,6,5,0,FALSE
NILS85301,NILS,1985,3,Japan,Kenji Ohama,Sangaku Dojin Kochi Expedition Nilgiri 1985,FALSE,4,0,0,FALSE
ANN385301,ANN3,1985,3,UK,Ewen Todd,Scottish Annapurna II Expedition,FALSE,5,0,0,FALSE
DHA185303,DHA1,1985,3,Yugoslavia,Stane Belak,Slovene Dhaulagiri E Face Expedition,FALSE,6,0,0,FALSE
KANC85301,KANC,1985,3,Spain,Juan Cruz Colinas,Spanish Kangchenjunga Expedition 1985,FALSE,1,0,0,FALSE
ANN185302,ANN1,1985,3,Switzerland,Jean Troillet,Steiner-Troillet Expedition to Annapurna I 1985,FALSE,2,0,0,FALSE
DHA185302,DHA1,1985,3,Austria,Peter Habeler,Tirolean-Bavarian Dhaulagiri Expedition,FALSE,2,0,0,FALSE
